"_raw","_time",host,index,linecount,source,sourcetype,"splunk_server","tag::host"
"2018-01-23T04:14:11.278486-05:00 lfs-mgmt2.ccs.ornl.gov fprof.fsize_perc.hist: Bin_LE_4.00_KiB = 0.00044847271064, Bin_LE_8.00_KiB = 0.000832985669946, Bin_LE_16.00_KiB = 0.00278546977598, Bin_LE_32.00_KiB = 0.00428145162836, Bin_LE_64.00_KiB = 0.00555698575612, Bin_LE_128.00_KiB = 0.00640482962, Bin_LE_256.00_KiB = 0.0485755564521, Bin_LE_512.00_KiB = 0.0434018542041, Bin_LE_1.00_MiB = 0.207164528093, Bin_LE_2.00_MiB = 0.354087690469, Bin_LE_4.00_MiB = 1.83753977076, Bin_LE_16.00_MiB = 4.4134338108, Bin_LE_32.00_MiB = 1.86759851287, Bin_LE_64.00_MiB = 6.62749201754, Bin_LE_128.00_MiB = 21.243558316, Bin_LE_256.00_MiB = 2.48593494198, Bin_LE_512.00_MiB = 2.77613668952, Bin_LE_1.00_GiB = 4.3995824812, Bin_LE_4.00_GiB = 12.6831318915, Bin_LE_64.00_GiB = 25.9703485509, Bin_LE_128.00_GiB = 1.89809566567, Bin_LE_256.00_GiB = 2.64576768113, Bin_LE_512.00_GiB = 3.49559236227, Bin_LE_1.00_TiB = 3.97745695539, Bin_LE_4.00_TiB = 1.75427978234, Bin_GT_4.00_TiB = 1.25051074574","2018-01-23T04:14:11.278-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-23T04:14:11.277953-05:00 lfs-mgmt2.ccs.ornl.gov fprof.filecount.hist: Bin_LE_4.00_KiB = 45345344, Bin_LE_8.00_KiB = 13439570, Bin_LE_16.00_KiB = 21094063, Bin_LE_32.00_KiB = 16626430, Bin_LE_64.00_KiB = 10843263, Bin_LE_128.00_KiB = 6271592, Bin_LE_256.00_KiB = 24950439, Bin_LE_512.00_KiB = 10762725, Bin_LE_1.00_MiB = 25941044, Bin_LE_2.00_MiB = 22504062, Bin_LE_4.00_MiB = 48991719, Bin_LE_16.00_MiB = 44589763, Bin_LE_32.00_MiB = 6612308, Bin_LE_64.00_MiB = 12861294, Bin_LE_128.00_MiB = 18876571, Bin_LE_256.00_MiB = 1184501, Bin_LE_512.00_MiB = 688465, Bin_LE_1.00_GiB = 550148, Bin_LE_4.00_GiB = 657513, Bin_LE_64.00_GiB = 220804, Bin_LE_128.00_GiB = 1893, Bin_LE_256.00_GiB = 1268, Bin_LE_512.00_GiB = 762, Bin_LE_1.00_TiB = 460, Bin_LE_4.00_TiB = 86, Bin_GT_4.00_TiB = 12","2018-01-23T04:14:11.277-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-23T04:14:11.271607-05:00 lfs-mgmt2.ccs.ornl.gov fprof.scan_rate: 6679","2018-01-23T04:14:11.271-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-23T04:14:11.271486-05:00 lfs-mgmt2.ccs.ornl.gov fprof.walktime: 16h 35m","2018-01-23T04:14:11.271-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-23T04:14:11.271341-05:00 lfs-mgmt2.ccs.ornl.gov fprof.avg_file_size: 26.49 MiB","2018-01-23T04:14:11.271-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-23T04:14:11.271227-05:00 lfs-mgmt2.ccs.ornl.gov fprof.total_file_size: 8412.03 TiB","2018-01-23T04:14:11.271-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-23T04:14:11.271115-05:00 lfs-mgmt2.ccs.ornl.gov fprof.file_count: 333016099","2018-01-23T04:14:11.271-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-23T04:14:11.271005-05:00 lfs-mgmt2.ccs.ornl.gov fprof.sym_count: 10362075","2018-01-23T04:14:11.271-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-23T04:14:11.270889-05:00 lfs-mgmt2.ccs.ornl.gov fprof.dir_count: 55521691","2018-01-23T04:14:11.270-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-23T04:14:11.270751-05:00 lfs-mgmt2.ccs.ornl.gov fprof.version: 0.16","2018-01-23T04:14:11.270-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-23T04:14:11.270562-05:00 lfs-mgmt2.ccs.ornl.gov fprof.rootpath: /lustre/atlas1","2018-01-23T04:14:11.270-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
